name,prompt,negative_prompt
Urban Exploration Photography,"Urban Exploration Photography, documenting {prompt} in abandoned or off-limits urban spaces, capturing the decay and history of forgotten places","staged, artificial, posed, unauthentic, contrived, predictable, lack of authenticity"
Astrophotography,"Astrophotography, capturing {prompt} in the night sky, including stars, planets, and celestial events","poorly framed, lack of clarity, uninteresting, uninspired, dull, blurry, indistinct"
High-Speed Photography,"High-Speed Photography, capturing {prompt} in fast motion, freezing high-speed events to showcase detail and action","blurry, indistinct, lack of detail, uninteresting, uninspired, generic, unimaginative"
Documentary Sports Photography,"Documentary Sports Photography, telling {prompt} through a series of images, capturing real-life events and stories in the world of sports","fabricated, fictional, staged, biased, unreliable, one-dimensional, uninformative"
360-Degree Photography,"360-Degree Photography, capturing {prompt} from all angles in a panoramic view, allowing viewers to immerse themselves in the scene","limited perspective, lack of depth, uninteresting, uninspired, dull, flat, unimaginative"
Infrared Photography,"Infrared Photography, capturing {prompt} using infrared light, revealing a unique and otherworldly perspective","unremarkable, lack of uniqueness, uninspired, uninteresting, generic, repetitive, unimaginative"
Surreal Photography,"Surreal Photography, creating {prompt} through dreamlike and fantastical imagery, bending reality and pushing the boundaries of perception","realistic, lack of imagination, uncreative, uninspired, dull, predictable, unimaginative"
Time Travel Photography,"Time Travel Photography, portraying {prompt} across different eras, combining elements from the past, present, and future","anachronistic, lack of coherence, uninteresting, uninspired, confusing, inauthentic, unimaginative"
Fashion Editorial Photography,"Fashion Editorial Photography, presenting {prompt} in a narrative and artistic way, often for magazines or fashion campaigns","outdated, unfashionable, lack of style, unattractive, poorly composed, tacky, uninspiring"
Night Sky Photography,"Night Sky Photography, capturing {prompt} in the nocturnal heavens, including stars, planets, and celestial phenomena","poorly framed, lack of clarity, uninteresting, uninspired, dull, blurry, indistinct"
Color Splash Photography,"Color Splash Photography, emphasizing {prompt} by isolating specific colors in a black and white image, creating a striking visual effect","overdone, distracting, lack of subtlety, uninteresting, uninspired, garish, excessive"
360-Degree Virtual Reality Photography,"360-Degree Virtual Reality Photography, capturing {prompt} in an immersive, interactive way, allowing viewers to explore the scene in virtual reality","limited perspective, lack of depth, uninteresting, uninspired, dull, flat, unimaginative"
Underwater Fashion Photography,"Underwater Fashion Photography, showcasing {prompt} beneath the surface of water, combining style and aquatic elements","unfashionable, lack of style, unattractive, poorly composed, uninspired, tacky, generic"
High Dynamic Range Nature Photography,"High Dynamic Range Nature Photography, capturing {prompt} in the natural world using HDR techniques, showcasing a wide range of tones and details","overprocessed, unrealistic, garish, unnatural, excessive, distracting, lack of subtlety"
Black and White Street Photography,"Black and White Street Photography, emphasizing {prompt} through the absence of color in candid shots of urban life","dull, lack of contrast, uninspired, uninteresting, monotonous, dated, uncreative"
Underwater Macro Photography,"Underwater Macro Photography, exploring {prompt} up close in aquatic environments, revealing intricate details often unnoticed by the naked eye","blurry, indistinct, lack of detail, common, unimpressive, generic, unimaginative"
Low Key Photography,"Low Key Photography, capturing {prompt} with predominantly dark tones and shadows, creating a moody and dramatic atmosphere","overexposed, lack of contrast, uninteresting, uninspired, dull, flat, unimaginative"
High Key Photography,"High Key Photography, capturing {prompt} with predominantly bright tones and minimal shadows, creating a bright and airy atmosphere","underexposed, lack of contrast, uninteresting, uninspired, dull, flat, unimaginative"
Fashion Documentary Photography,"Fashion Documentary Photography, telling {prompt} through a series of images, capturing real stories and narratives in the world of fashion","fabricated, fictional, staged, biased, unreliable, one-dimensional, uninformative"
360-Degree Aerial Photography,"360-Degree Aerial Photography, capturing {prompt} from all angles in a panoramic view from above, providing a unique perspective","limited perspective, lack of depth, uninteresting, uninspired, dull, flat, unimaginative"
Cinematic Photography,"Cinematic Photography, capturing {prompt} with a focus on visual storytelling, evoking the atmosphere of films through composition, lighting, and narrative elements","unimpressive, lack of narrative, uninspired, disconnected, poorly composed, generic, unimaginative"
Cinematic Noir Photography,"Cinematic Noir Photography, capturing {prompt} with a moody and mysterious atmosphere, reminiscent of classic film noir","lack of noir elements, unimpressive, poorly lit, uninspired, generic, unimaginative"
Epic Landscape Cinematic Photography,"Epic Landscape Cinematic Photography, showcasing {prompt} in grand and cinematic landscapes, emphasizing scale and visual drama","lack of epic feel, unimpressive, uninspired, disconnected, poorly composed, generic, unimaginative"
Urban Cinematic Photography,"Urban Cinematic Photography, capturing {prompt} in cityscapes with a cinematic flair, highlighting the energy and vibe of urban life","lack of urban atmosphere, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Dramatic Portrait Cinematic Photography,"Dramatic Portrait Cinematic Photography, conveying {prompt} through cinematic lighting and composition, emphasizing character and emotion","lack of drama, unimpressive, poorly lit, disconnected, uninspired, generic, unimaginative"
Sci-Fi Cinematic Photography,"Sci-Fi Cinematic Photography, exploring {prompt} with futuristic and otherworldly elements, creating a sense of awe and imagination","lack of sci-fi elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Vintage Cinematic Photography,"Vintage Cinematic Photography, recreating {prompt} with a retro and nostalgic cinematic feel, often using film-inspired tones and grain","lack of vintage charm, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Action Cinematic Photography,"Action Cinematic Photography, capturing {prompt} in dynamic and fast-paced scenes, conveying a sense of movement and intensity","lack of action, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Mystery Cinematic Photography,"Mystery Cinematic Photography, conveying {prompt} with a sense of intrigue and suspense, using cinematic techniques to create a mysterious atmosphere","lack of mystery elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Romantic Cinematic Photography,"Romantic Cinematic Photography, capturing {prompt} with a romantic and cinematic touch, emphasizing emotions and storytelling in a visually compelling way","lack of romance, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
War Cinematic Photography,"War Cinematic Photography, depicting {prompt} with a cinematic approach, conveying the harsh realities and emotions of conflict","lack of war elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Historical Cinematic Photography,"Historical Cinematic Photography, recreating {prompt} with a cinematic twist, capturing the essence of a specific historical era through composition and style","lack of historical elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Fantasy Cinematic Photography,"Fantasy Cinematic Photography, exploring {prompt} with a fantastical and imaginative approach, creating dreamlike and cinematic scenes","lack of fantasy elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Horror Cinematic Photography,"Horror Cinematic Photography, conveying {prompt} with a dark and eerie cinematic style, using lighting and composition to evoke fear and suspense","lack of horror elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Comedic Cinematic Photography,"Comedic Cinematic Photography, capturing {prompt} with a humorous and cinematic touch, using visual storytelling to create comedic moments","lack of comedy elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Adventure Cinematic Photography,"Adventure Cinematic Photography, showcasing {prompt} with a sense of exploration and excitement, using cinematic techniques to convey the thrill of an adventure","lack of adventure elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Western Cinematic Photography,"Western Cinematic Photography, recreating {prompt} with a cinematic Western style, capturing the rugged landscapes and dramatic moments of the Old West","lack of Western elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Sports Cinematic Photography,"Sports Cinematic Photography, capturing {prompt} with a cinematic flair, using dynamic composition and lighting to convey the intensity and excitement of sports","lack of sports elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Family Cinematic Photography,"Family Cinematic Photography, capturing {prompt} with a cinematic touch, using storytelling and composition to create timeless and emotional family moments","lack of family elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Travel Cinematic Photography,"Travel Cinematic Photography, showcasing {prompt} in cinematic travel scenes, emphasizing the beauty and cultural richness of different locations","lack of travel elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Film Set Cinematic Photography,"Film Set Cinematic Photography, capturing behind-the-scenes {prompt} on a film set, showcasing the process and atmosphere of filmmaking","lack of film set elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Abstract Vector Art,"Abstract Vector Art, creating {prompt} through geometric shapes, lines, and vibrant colors in a non-representational manner","lack of abstraction, unimpressive, poorly composed, uninspired, generic, unimaginative"
Pop Art Vector Illustration,"Pop Art Vector Illustration, showcasing {prompt} with bold colors, strong contrast, and elements inspired by popular culture","lack of pop art elements, unimpressive, poorly composed, uninspired, muted colors, generic, unimaginative"
Cute Cartoon Vector Art,"Cute Cartoon Vector Art, illustrating {prompt} with adorable and charming characters, often with exaggerated features","lack of cuteness, unimpressive, poorly composed, uninspired, generic, menacing, unimaginative"
Minimalist Vector Art,"Minimalist Vector Art, emphasizing simplicity and {prompt} through clean lines, minimal elements, and negative space","cluttered, chaotic, busy, overwhelming, excessive, unorganized, confusing"
Vector Portrait Illustration,"Vector Portrait Illustration, capturing {prompt} with a stylized and graphic approach, focusing on facial features and expressions","lack of likeness, unimpressive, poorly composed, uninspired, generic, unimaginative"
Digital Watercolor Vector Art,"Digital Watercolor Vector Art, replicating {prompt} with a watercolor-like effect using vector graphics, emphasizing fluid and translucent strokes","lack of watercolor feel, unimpressive, poorly composed, uninspired, generic, unimaginative"
Sci-Fi Vector Art,"Sci-Fi Vector Art, exploring {prompt} with futuristic and technological elements, creating a sense of awe and imagination","lack of sci-fi elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Vintage Poster Vector Art,"Vintage Poster Vector Art, recreating {prompt} with a retro and nostalgic poster style, using vintage typography and design elements","lack of vintage charm, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Mandala Art,"Vector Mandala Art, creating intricate and symmetrical {prompt} with geometric patterns and repetitive shapes","lack of symmetry, unimpressive, poorly composed, uninspired, generic, chaotic, unimaginative"
Fantasy Vector Art,"Fantasy Vector Art, exploring {prompt} with a fantastical and imaginative approach, creating magical and otherworldly scenes","lack of fantasy elements, unimpressive, disconnected, uninspired, poorly composed, generic, unimaginative"
Vector Pattern Design,"Vector Pattern Design, creating seamless and repeatable patterns inspired by {prompt}, often used for textiles, wallpapers, and digital backgrounds","lack of pattern elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Modern Abstract Vector Art,"Modern Abstract Vector Art, expressing {prompt} through contemporary and experimental compositions, often using bold shapes and gradients","lack of modern elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Typography Art,"Vector Typography Art, incorporating {prompt} into creative typographic compositions, emphasizing the design and arrangement of text","lack of typography elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Pixel Art,"Vector Pixel Art, creating {prompt} using pixel-based graphics, often inspired by retro video game aesthetics","lack of pixel art elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Geometric Vector Art,"Abstract Geometric Vector Art, expressing {prompt} through the use of geometric shapes, lines, and patterns in a structured and ordered manner","lack of geometric elements, unimpressive, poorly composed, uninspired, chaotic, generic, unimaginative"
Vector Art Nouveau Illustration,"Vector Art Nouveau Illustration, showcasing {prompt} with intricate and flowing lines, often inspired by the Art Nouveau movement","lack of Art Nouveau elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Street Art,"Vector Street Art, capturing {prompt} with a graffiti and street art-inspired style, using bold colors and expressive strokes","lack of street art elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Botanical Vector Illustration,"Botanical Vector Illustration, illustrating {prompt} with detailed and stylized botanical elements, often used for botanical prints and nature-inspired designs","lack of botanical elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Surreal Art,"Vector Surreal Art, creating {prompt} with dreamlike and fantastical imagery, bending reality and pushing the boundaries of perception","realistic, lack of imagination, uncreative, uninspired, dull, predictable, unimaginative"
Vector Animal Illustration,"Vector Animal Illustration, illustrating {prompt} with stylized and graphic depictions of animals, often emphasizing their unique features","lack of animal elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Cityscape Illustration,"Vector Cityscape Illustration, capturing {prompt} with a stylized and graphic representation of urban landscapes, emphasizing architecture and city elements","lack of cityscape elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Retro Gaming Art,"Vector Retro Gaming Art, recreating {prompt} with a retro video game aesthetic, often inspired by classic game graphics and characters","lack of retro gaming elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Vector Food Illustration,"Vector Food Illustration, illustrating {prompt} with a stylized and appetizing approach, often used for food packaging and culinary designs","unappetizing, poorly presented, lack of composition, uninspired, generic, unimaginative"
Vector Holographic Art,"Vector Holographic Art, creating {prompt} with a holographic and iridescent effect, often using vibrant and shifting colors","lack of holographic elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Boho Chic Dress Design,"Boho Chic Dress Design, featuring {prompt} with flowing fabrics, earthy tones, and bohemian-inspired details","lack of boho elements, outdated, uninspired, unappealing, poorly designed, generic, unimaginative"
Elegant Evening Gown Design,"Elegant Evening Gown Design, showcasing {prompt} with luxurious fabrics, intricate detailing, and a sophisticated silhouette","lack of elegance, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Vintage Tea-Length Dress Design,"Vintage Tea-Length Dress Design, featuring {prompt} with a retro-inspired tea-length hemline, often incorporating lace and floral patterns","lack of vintage charm, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Modern Midi Dress Design,"Modern Midi Dress Design, showcasing {prompt} with a midi-length hemline, clean lines, and contemporary design elements","lack of modern elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Casual Maxi Dress Design,"Casual Maxi Dress Design, featuring {prompt} with a relaxed and comfortable fit, often suitable for everyday wear","lack of casual elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Classic Little Black Dress Design,"Classic Little Black Dress Design, showcasing {prompt} with a timeless and versatile black silhouette, suitable for various occasions","lack of classic elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Trendy Off-Shoulder Dress Design,"Trendy Off-Shoulder Dress Design, featuring {prompt} with an off-shoulder neckline, emphasizing a modern and stylish look","lack of trendy elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Floral Print Sundress Design,"Floral Print Sundress Design, showcasing {prompt} with a vibrant and summery floral print, perfect for warm-weather occasions","lack of floral elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Athleisure Dress Design,"Athleisure Dress Design, featuring {prompt} with sporty and comfortable elements, blurring the lines between activewear and casual wear","lack of athleisure elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Ruffled Boho Dress Design,"Ruffled Boho Dress Design, showcasing {prompt} with bohemian-inspired ruffles and flowing fabrics, adding a playful and feminine touch","lack of ruffled elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Glamorous Sequin Dress Design,"Glamorous Sequin Dress Design, featuring {prompt} with dazzling sequins, perfect for a glamorous and eye-catching evening look","lack of glamorous elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Polka Dot Retro Dress Design,"Polka Dot Retro Dress Design, showcasing {prompt} with a retro-inspired polka dot pattern, reminiscent of vintage fashion","lack of polka dot elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Chic Wrap Dress Design,"Chic Wrap Dress Design, featuring {prompt} with a stylish wrap-around silhouette, emphasizing a flattering and adjustable fit","lack of chic elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Denim Shirt Dress Design,"Denim Shirt Dress Design, showcasing {prompt} with a casual and versatile denim fabric, often inspired by classic shirt dress styles","lack of denim elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Bold Color Block Dress Design,"Bold Color Block Dress Design, featuring {prompt} with striking color combinations and geometric shapes for a modern and bold look","lack of color block elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Bohemian Peasant Dress Design,"Bohemian Peasant Dress Design, showcasing {prompt} with loose and flowing fabrics, often featuring peasant-style sleeves and details","lack of bohemian elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Princess Ball Gown Design,"Princess Ball Gown Design, featuring {prompt} with a voluminous and enchanting silhouette, perfect for formal events and special occasions","lack of princess elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Edgy Leather Dress Design,"Edgy Leather Dress Design, showcasing {prompt} with a daring and edgy look, often incorporating leather or faux leather materials","lack of edgy elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Romantic Lace Wedding Dress Design,"Romantic Lace Wedding Dress Design, featuring {prompt} with delicate lace details, creating a romantic and timeless bridal look","lack of lace elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Preppy Striped Shift Dress Design,"Preppy Striped Shift Dress Design, showcasing {prompt} with a classic and preppy striped pattern, often in a shift dress silhouette","lack of preppy elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Modest High-Neck Dress Design,"Modest High-Neck Dress Design, featuring {prompt} with a high neckline and a modest silhouette, suitable for conservative and formal occasions","lack of modest elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Tropical Print Beach Dress Design,"Tropical Print Beach Dress Design, showcasing {prompt} with a vibrant and summery tropical print, perfect for beach and vacation wear","lack of tropical elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Vintage Swing Dress Design,"Vintage Swing Dress Design, featuring {prompt} with a swing dress silhouette, often inspired by 1950s fashion, emphasizing a playful and feminine look","lack of vintage elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Feminine A-Line Dress Design,"Feminine A-Line Dress Design, showcasing {prompt} with a flattering A-line silhouette, perfect for a feminine and timeless look","lack of A-line elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Gothic Victorian Dress Design,"Gothic Victorian Dress Design, featuring {prompt} with dark and Victorian-inspired elements, creating a dramatic and gothic look","lack of gothic elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Chiffon Boho Maxi Dress Design,"Chiffon Boho Maxi Dress Design, showcasing {prompt} with bohemian-inspired details and a flowing chiffon fabric, perfect for a boho-chic look","lack of chiffon elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Tulle Princess Dress Design,"Tulle Princess Dress Design, featuring {prompt} with layers of tulle and a fairy-tale-inspired look, perfect for a whimsical and princess-like appearance","lack of tulle elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Retro Polka Dot Swing Dress Design,"Retro Polka Dot Swing Dress Design, showcasing {prompt} with a swing dress silhouette and a retro-inspired polka dot pattern","lack of retro elements, unimpressive, poorly designed, unappealing, outdated, generic, unimaginative"
Extreme Close-Up Floral Macro Photography,"Extreme Close-Up Floral Macro Photography, capturing intricate details of {prompt} in a tight frame, showcasing the beauty of petals, stamens, and textures","lack of floral elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Water Droplet Macro Photography,"Water Droplet Macro Photography, capturing {prompt} with water droplets, emphasizing the refraction and details within each droplet","lack of water droplets, unimpressive, poorly composed, uninspired, generic, unimaginative"
Insect Macro Photography,"Insect Macro Photography, showcasing {prompt} with extreme close-ups of insects, capturing details like wings, eyes, and antennae","lack of insect elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Macro Photography,"Abstract Macro Photography, expressing {prompt} through unconventional compositions and creative techniques in extreme close-ups","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Textured Macro Photography,"Textured Macro Photography, capturing {prompt} with a focus on textures, showcasing details like patterns, surfaces, and tactile elements","lack of texture, unimpressive, poorly composed, uninspired, generic, unimaginative"
Food Macro Photography,"Food Macro Photography, showcasing {prompt} with extreme close-ups of food items, emphasizing details like textures, colors, and structures","unappetizing, poorly presented, lack of composition, uninspired, generic, unimaginative"
Abstract Water Macro Photography,"Abstract Water Macro Photography, expressing {prompt} through creative compositions and close-ups of water in various forms, capturing abstract patterns and textures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Jewelry Macro Photography,"Jewelry Macro Photography, showcasing {prompt} with extreme close-ups of jewelry pieces, capturing details like gemstones, metalwork, and intricate designs","lack of jewelry elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Feather Macro Photography,"Feather Macro Photography, capturing {prompt} with extreme close-ups of feathers, emphasizing details like textures, patterns, and colors","lack of feather elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Light Macro Photography,"Abstract Light Macro Photography, expressing {prompt} through creative compositions and extreme close-ups, capturing abstract patterns and colors created by light","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Rust Macro Photography,"Rust Macro Photography, showcasing {prompt} with extreme close-ups of rusted surfaces, capturing the textures, colors, and decay","lack of rust elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Human Eye Macro Photography,"Human Eye Macro Photography, capturing {prompt} with extreme close-ups of the human eye, showcasing intricate details like iris patterns and reflections","lack of human eye elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Plant Macro Photography,"Abstract Plant Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of plants, capturing abstract patterns and structures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Frozen Macro Photography,"Frozen Macro Photography, capturing {prompt} with extreme close-ups of frozen objects, emphasizing details like ice crystals and frost patterns","lack of frozen elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Circuit Board Macro Photography,"Circuit Board Macro Photography, showcasing {prompt} with extreme close-ups of electronic circuit boards, capturing details like circuits, components, and connections","lack of circuit board elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Sand Macro Photography,"Abstract Sand Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of sand, capturing abstract patterns and textures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
